course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,tip
BIO-105,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/cellular-biology-and-biochemistry-for-engineers-BIO-105,Cellular biology and biochemistry for engineers,3.2 (4),3.2,2.5,2 (4),['Zufferey'],Go to the lectures and do the exercises. Pay attention to the statics stuff.
BIO-105,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/cellular-biology-and-biochemistry-for-engineers-BIO-105,Cellular biology and biochemistry for engineers,3.2 (4),3.2,2.5,2 (4),['Zufferey'],"It is not necessary to go to class, but I recommend it, because the professor repeats multiple times the information needed for the exam. The most useful lecture is the one in week 14, where the professor solves all the exercises of the exam of the previous year."
BIO-105,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/cellular-biology-and-biochemistry-for-engineers-BIO-105,Cellular biology and biochemistry for engineers,3.2 (4),3.2,2.5,2 (4),['Zufferey'],Learn to do the exercises of the exam (always the same) and out as much theory as possible in the cheat sheet
BIO-105,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/cellular-biology-and-biochemistry-for-engineers-BIO-105,Cellular biology and biochemistry for engineers,3.2 (4),3.2,2.5,2 (4),['Zufferey'],Learn to do the exercises of the exam (always the same) and out as much theory as possible in the cheat sheet
BIO-109,https://edu.epfl.ch/studyplan/en/bachelor/communication-systems/coursebook/introduction-to-life-sciences-for-ic-BIO-109,Introduction to life sciences (for IC),3 (1),2,2,1 (6),['Zufferey'],"Exams questions are almost always the exact sames, the teacher will usually use the last few classes to go over them. You can use internet and your computer during the exam."
BIO-109,https://edu.epfl.ch/studyplan/en/bachelor/communication-systems/coursebook/introduction-to-life-sciences-for-ic-BIO-109,Introduction to life sciences (for IC),3 (1),2,2,1 (6),['Zufferey'],"Exams questions are almost always the exact sames, the teacher will usually use the last few classes to go over them. You can use internet and your computer during the exam."
BIO-221,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/cell-and-developmental-biology-for-engineers-BIO-221,Cell and developmental biology for engineers,5 (3),4.7,3.7,3 (4),"['Gönczy', 'Oates']","And there are two continuous controls, because you don't need to learn everything at once. The first part of the course (embryology) is harder."
BIO-221,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/cell-and-developmental-biology-for-engineers-BIO-221,Cell and developmental biology for engineers,5 (3),4.7,3.7,3 (4),"['Gönczy', 'Oates']",The exam is open book (electronic devices authorized if offline). Knowing where to find the information is more important that knowing it by heart. The professors like to insist on the reflexion. Each professor writes a part of the exam on their own topic. Oats' parts are usually easier than Gönczy's.
BIO-221,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/cell-and-developmental-biology-for-engineers-BIO-221,Cell and developmental biology for engineers,5 (3),4.7,3.7,3 (4),"['Gönczy', 'Oates']","The first part is harder than the second, and don't underestimate the exam just because it is open book. The questions require a lot of thinking and a really good global comprehension of the material."
BIO-221,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/cell-and-developmental-biology-for-engineers-BIO-221,Cell and developmental biology for engineers,5 (3),4.7,3.7,3 (4),"['Gönczy', 'Oates']","The first part is harder than the second, and don't underestimate the exam just because it is open book. The questions require a lot of thinking and a really good global comprehension of the material."
BIO-310,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunology-BIO-310,Immunology,4 (2),4,3.5,4 (4),"['Lemaitre', 'Suter']","Do the exercises but no need to go to the exercise session. The exam is hard : a lot of learning by heart and some thought exercises like at the end of the exercice worksheets. Don’t fall behind, at the end the lectures make more sense because a lot of stuff comes up multiple times"
BIO-310,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunology-BIO-310,Immunology,4 (2),4,3.5,4 (4),"['Lemaitre', 'Suter']","Exercises are quite helpful, but does not usually add more information than given in the course: but they help memorize and better understand. Exam is more on the easy side if you have achieved to learn the dense stuff."
BIO-310,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunology-BIO-310,Immunology,4 (2),4,3.5,4 (4),"['Lemaitre', 'Suter']","Exercises are quite helpful, but does not usually add more information than given in the course: but they help memorize and better understand. Exam is more on the easy side if you have achieved to learn the dense stuff."
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']","Went to the lectures, but still worked with the book, which is detailed and very intelligible, with figures especially. Don’t wait last minute for the midterm/exam because it can accumulate"
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']","Reading not necessary, focus on the slides, everything at the exams comes from the slides so it’s a lot of learning by heart"
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']","Go to the exercices sessions, it is very helpful !"
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']",I feel that the weekly quizzes are very similar to the type of questions at the exam. The slides usually contain all the information needed during the exam.
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']","Make sure to understand the quizzes and check out the summaries on the drive, for the exam they didn't ask to be that precise => no need to spend too long on details"
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']",do not leave everything until the last minute and do all the exercises. There's a lot of material so it's easy to get lost
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']",Take 4 full days before each exam to understand and memorize all the slides and the exam will be quite easy; everything is somewhere in the slides
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']",Study time by time and go to the exercise sessions ……… ……
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']",Study time by time and go to the exercise sessions ……… ……
BIO-320,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/morphology-i-BIO-320,Morphology I,5 (1),5,3,5 (4),['Zufferey'],Do a lot of flashcards and don't wait the end of the semester to learn all the content.
